UMPD Case Number,Date Occurred,Report Date,Crime Type,Disposition,LOCATION
2024-00020706,2024-01-29 08:30:00,2024-01-29 17:39:00,Theft,Arrest,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2024-00020846,2024-01-29 19:00:00,2024-01-30 00:05:00,Dept Property Damage/Loss,Active/Pending,4300 block of Hartwick Rd
2024-00021292,2024-01-30 18:30:00,2024-01-30 19:18:00,Assist Other Agency,CBE,8400 block of Baltimore Ave
2024-00021819,2024-01-31 12:00:00,2024-01-31 13:09:00,Injured/Sick Person,CBE,Health Center at 3983 Campus Dr
2024-00021864,2024-01-31 12:00:00,2024-01-31 16:04:00,Assist Other Agency,CBE,"Cornerstone, Cornerstone Grill at 7325 Baltimore Ave"
2024-00022030,2024-01-31 20:30:00,2024-01-31 21:03:00,Accident,Active/Pending,Regents Dr
2024-00022033,2024-01-17 12:00:00,2024-01-31 21:22:00,Dept Property Damage/Loss,CBE,6800 block of Preinkert Dr
2024-00022496,2024-02-01 12:38:00,2024-02-01 12:38:00,Emergency Petition,CBE,4200 block of Stadium Dr
2024-00022500,2024-01-31 21:45:00,2024-02-01 14:08:00,Theft,Investigation Pending,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00022507,2024-02-01 16:00:00,2024-02-01 16:08:00,Indecent Exposure,Arrest,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00022578,2024-02-01 19:31:00,2024-02-01 20:03:00,Assist Other Agency,Active/Pending,4300 block of Knox Rd
2024-00022639,2024-02-01 21:00:00,2024-02-01 22:06:00,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00022718,2024-02-01 21:00:00,2024-02-01 23:31:00,Injured/Sick Person,CBE,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2024-00022790,2024-02-02 00:28:00,2024-02-02 00:28:00,Alcohol Violation,CBE,Rhode Island Ave
2024-00022829,2024-02-02 00:40:00,2024-02-02 00:57:00,Alcohol Violation,Arrest,Rhode Island Ave
2024-00023013,2024-02-02 02:57:00,2024-02-02 02:57:00,Injured/Sick Person,CBE,"Alpha Delta Pi, Alpha Delta Pi Sorority at 4535 College Ave"
2024-00023126,2024-01-25 17:00:00,2024-02-02 06:12:00,Theft from Auto,Investigation Pending,Lot 11b
2024-00023325,2024-02-02 11:45:00,2024-02-02 12:02:00,Assist Other Agency,CBE,Knox Rd
2024-00023341,2024-02-02 13:00:00,2024-02-02 14:27:00,Extortion,Investigation Pending,4200 block of Valley Dr
2024-00023376,2024-02-02 15:44:00,2024-02-02 15:44:00,Emergency Petition,CBE,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00023384,2024-02-02 16:05:00,2024-02-02 16:10:00,Peeping Tom,Arrest,8100 block of Paint Branch Dr
2024-00023656,2024-02-02 23:50:00,2024-02-02 23:54:00,Alcohol Violation,Arrest,"Bais Menachem, Chabad Jewish Student Center at 7403 Hopkins Ave"
2024-00023674,2024-02-03 00:16:00,2024-02-03 00:16:00,Injured/Sick Person,CBE,Johnson-Whittle Hall at 4118 Stadium Dr
2024-00023726,2024-02-03 01:48:00,2024-02-03 01:48:00,DWI/DUI,Arrest,Baltimore Ave
2024-00023998,2024-01-31 12:02:00,2024-02-03 11:28:00,Theft,Active/Pending,7500 block of Yale Ave
2024-00024001,2024-02-02 00:00:00,2024-02-03 11:37:00,Assist Other Agency,CBE,4300 block of Knox Rd
2024-00024209,2024-02-03 17:56:00,2024-02-03 17:56:00,Alcohol Violation,Arrest,Knox Rd
2024-00024275,2024-02-03 20:55:00,2024-02-03 20:55:00,Injured/Sick Person,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00024276,2024-02-03 20:56:00,2024-02-03 20:56:00,Injured/Sick Person,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00024309,2024-02-03 22:37:00,2024-02-03 22:37:00,Injured/Sick Person,CBE,"8, Annapolis, Annapolis Hall at 7626 Regents Dr"
2024-00024403,2024-02-04 01:53:00,2024-02-04 01:53:00,Suspicious Person/Auto,CBE,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2024-00024426,2024-02-04 03:15:00,2024-02-04 03:15:00,DWI/DUI,Arrest,University Blvd
2024-00024427,2024-02-04 03:18:00,2024-02-04 03:18:00,Injured/Sick Person,CBE,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00024492,2024-02-04 06:15:00,2024-02-04 06:15:00,Other Incident,CBE,UMGC Inn & Conference Center at 345 Ehrensberger Dr
2024-00024675,2024-02-04 11:15:00,2024-02-04 11:21:00,Fire,CBE,Yahentamitsi at 4136 Stadium Dr
2024-00024877,2024-02-04 19:35:00,2024-02-04 19:35:00,Injured/Sick Person,CBE,7600 block of Preinkert Dr
2024-00025156,2024-02-02 15:00:00,2024-02-05 07:50:00,Stolen Motor Vehicle,Investigation Pending,"Clarice Smith Performing Arts Center, CSPAC at 8270 Alumni Dr"
2024-00025511,2024-02-05 16:54:00,2024-02-05 16:54:00,Injured/Sick Person,CBE,"Art Soc, Art Sociology Building, Art-Sociology Building, Parren J. Mitchell Art-Sociology Building at 3834 Campus Dr"
2024-00025606,2024-02-05 23:37:00,2024-02-05 23:41:00,Assist Other Agency,CBE,909 at 8204 Baltimore Ave
2024-00025613,2024-02-05 22:00:00,2024-02-06 00:28:00,Vandalism,CBE,Hagerstown Hall at 8075 Hagerstown Dr
2024-00025930,2024-02-06 11:00:00,2024-02-06 11:00:00,Hazardous Condition,CBE,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2024-00025997,2024-02-05 13:50:00,2024-02-06 14:20:00,Theft,Unfounded,3800 block of Campus Dr
2024-00026047,2024-02-06 16:48:00,2024-02-06 16:48:00,Other Service Call,CBE,"College Park Fire Station, Company 12 at 8115 Baltimore Ave"
2024-00026050,2024-02-05 12:00:00,2024-02-06 16:55:00,Theft,Unfounded,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2024-00026082,2024-02-06 18:02:00,2024-02-06 18:02:00,Assist Other Agency,CBE,Baltimore Ave
2024-00026120,2024-02-06 20:14:00,2024-02-06 20:14:00,Other Incident,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00026215,2024-02-06 22:46:00,2024-02-06 22:46:00,CDS Violation,CBE,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2024-00026223,2024-02-06 23:08:00,2024-02-06 23:08:00,Injured/Sick Person,CBE,7200 block of Baltimore Ave
2024-00026321,2024-02-07 01:31:00,2024-02-07 01:31:00,Emergency Petition,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00026325,2024-02-07 01:48:00,2024-02-07 01:48:00,Assist Other Agency,CBE,4700 block of Berwyn House Rd
2024-00026327,2024-02-06 13:30:00,2024-02-07 01:58:00,Emergency Petition,Active/Pending,"25, Charles, Charles Hall at 4405 Lehigh Rd"
2024-00026519,2024-02-07 09:40:00,2024-02-07 09:45:00,Injured/Sick Person,CBE,Lot Z
2024-00026551,2024-02-07 10:54:00,2024-02-07 11:43:00,Theft,Arrest,"Alpha Chi Omega, Alpha Chi Omega Sorority at 4525 College Ave"
2024-00026577,2024-02-07 12:57:00,2024-02-07 12:57:00,Injured/Sick Person,CBE,Union Ln
2024-00026693,2024-02-07 17:00:00,2024-02-07 17:27:00,Injured/Sick Person,CBE,6800 block of Preinkert Dr
2024-00027239,2024-02-07 13:00:00,2024-02-08 12:34:00,Theft,Unfounded,Varsity Sports Teamhouse at 4117 Stadium Dr
2024-00027287,2024-02-08 13:45:00,2024-02-08 14:44:00,Threat Assessment,Active/Pending,7300 block of Preinkert Dr
2024-00027315,2024-02-07 20:15:00,2024-02-08 17:03:00,Theft,Arrest,3900 block of Denton Service Ln
2024-00027335,2024-02-08 17:45:00,2024-02-08 18:04:00,Dept Property Damage/Loss,CBE,708 Chichester Lane
2024-00027439,2024-02-08 09:30:00,2024-02-08 21:29:00,Theft,Investigation Pending,"35, McKeldin Library at 7649 Library Ln"
2024-00027598,2024-02-09 01:17:00,2024-02-09 01:17:00,Suspicious Activity,CBE,"Denton, Denton Hall at 3854 Stadium Dr"
2024-00027752,2024-02-09 07:27:00,2024-02-09 07:27:00,Other Service Call,CBE,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2024-00027848,2024-02-09 09:58:00,2024-02-09 09:58:00,Assist Fire Department,CBE,7700 block of Adelphi Rd
2024-00027889,2024-02-08 22:15:00,2024-02-09 10:52:00,Theft,Arrest,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2024-00028084,2024-01-31 20:30:00,2024-02-09 15:34:00,Theft,Active/Pending,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00028224,2024-02-09 22:27:00,2024-02-09 22:27:00,Alcohol Violation,Arrest,Princeton Ave
2024-00028357,2024-02-10 00:45:00,2024-02-10 00:45:00,Damage to State Property,Active/Pending,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2024-00028409,2024-02-10 04:11:00,2024-02-10 04:11:00,DWI/DUI,Arrest,University Blvd
2024-00028410,2024-02-10 04:16:00,2024-02-10 04:30:00,Assist Other Agency,CBE,7300 block of Baltimore Ave
2024-00028421,2024-02-10 05:21:00,2024-02-10 05:21:00,Assist Other Agency,CBE,8100 block of Baltimore Ave
2024-00028634,2024-02-09 17:00:00,2024-02-10 12:53:00,Theft,Arrest,"14, Harford Hall at 7660 Regents Dr"
2024-00028724,2024-02-10 17:15:00,2024-02-10 17:39:00,Peeping Tom,Arrest,"96, Cambridge, Cambridge Hall at 4230 Farm Dr"
2024-00028726,2024-02-10 17:49:00,2024-02-10 17:49:00,Alcohol Violation,Arrest,Knox Rd
2024-00028727,2024-02-10 18:19:00,2024-02-10 18:19:00,Disorderly Conduct,Arrest,College Ave
2024-00028770,2024-02-10 22:57:00,2024-02-10 22:57:00,Injured/Sick Person,CBE,6900 block of Preinkert Dr
2024-00028803,2024-02-11 00:22:00,2024-02-11 00:22:00,DWI/DUI,Arrest,Campus Dr
2024-00028804,2024-02-09 20:00:00,2024-02-11 00:51:00,Theft,Investigation Pending,Yahentamitsi at 4136 Stadium Dr
2024-00029034,2024-02-11 11:40:00,2024-02-11 11:54:00,Assist Other Agency,CBE,8200 block of Baltimore Ave
2024-00029293,2024-02-11 01:00:00,2024-02-11 19:19:00,Theft,Investigation Pending,8000 block of Hagerstown Dr
2024-00029357,2024-02-11 15:37:00,2024-02-11 23:16:00,Damage to State Property,CBE,"46, Marie Mount, Marie Mount Hall at 7814 Regents Dr"
2024-00029737,2024-02-12 13:15:00,2024-02-12 13:15:00,Other Incident,CBE,"77, Main Admin, Main Administration Building, Thomas V. Miller Jr. Administration Building at 7901 Regents Dr"
2024-00030085,2024-02-12 21:50:00,2024-02-12 21:50:00,Emergency Petition,CBE,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00030478,2024-02-13 12:31:00,2024-02-13 12:31:00,Injured/Sick Person,CBE,"30, Talbot, Talbot Hall at 7569 Calvert Service Ln"
2024-00030517,2024-02-13 12:15:00,2024-02-13 13:40:00,Theft,Unfounded,7900 block of Regents Dr
2024-00030621,2024-02-05 08:00:00,2024-02-13 18:48:00,Other Incident,CBE,Yahentamitsi at 4136 Stadium Dr
2024-00030651,2024-02-13 19:21:00,2024-02-13 20:37:00,Accident - Departmental,CBE,3216 Hollins Ferry Rd
2024-00030972,2024-02-14 08:11:00,2024-02-14 08:11:00,Assist Other Agency,CBE,909 at 8204 Baltimore Ave
2024-00031044,2024-02-14 10:43:00,2024-02-14 10:43:00,Emergency Petition,CBE,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00031291,2024-02-14 21:30:00,2024-02-14 21:56:00,Injured/Sick Person,CBE,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2024-00031748,2024-02-15 11:52:00,2024-02-15 11:52:00,Injured/Sick Person,CBE,Yahentamitsi at 4136 Stadium Dr
2024-00031754,2024-02-15 11:59:00,2024-02-15 11:59:00,Emergency Petition,CBE,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00031793,2024-02-15 13:24:00,2024-02-15 13:24:00,Injured/Sick Person,CBE,4300 block of Knox Rd
2024-00031885,2024-02-15 18:14:00,2024-02-15 18:14:00,Injured/Sick Person,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00032105,2024-02-16 00:33:00,2024-02-16 00:33:00,Alcohol Violation,Arrest,Rhode Island Ave
2024-00032407,2024-02-16 08:22:00,2024-02-16 08:22:00,Suspicious Person/Auto,Arrest,8100 block of Paint Branch Dr
2024-00032469,2024-02-16 12:10:00,2024-02-16 12:10:00,Emergency Petition,CBE,4100 block of Stadium Dr
2024-00032800,2024-02-16 23:00:00,2024-02-17 00:50:00,Injured/Sick Person,CBE,"Prince Frederick, Prince Frederick Hall at 7030 Preinkert Dr"
2024-00032824,2024-02-17 01:00:00,2024-02-17 01:50:00,Theft,Investigation Pending,South Gate at 7567 Regents Dr
2024-00032827,2024-02-17 01:58:00,2024-02-17 01:58:00,Injured/Sick Person,CBE,7300 block of Baltimore Ave
2024-00032835,2024-02-17 02:32:00,2024-02-17 02:32:00,Emergency Petition,CBE,4300 block of Knox Rd
2024-00033011,2024-02-17 09:40:00,2024-02-17 09:48:00,Injured/Sick Person,CBE,4200 block of Valley Dr
2024-00033066,2024-02-17 12:33:00,2024-02-17 12:44:00,Trespassing,Arrest,"88, Martin Hall at 4298 Campus Dr"
2024-00033067,2024-02-17 00:03:00,2024-02-17 12:51:00,Theft,Investigation Pending,3900 block of Denton Service Ln
